tweet,message,match,polarity
1,RT josstheboss The Chinese Flu is looking very American,,neutral
2,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
3,Eta Storm E stimated T ime of A rrival Monster Alligator on a Florida golf course We all know they hate h,hate,negative
4,RT charts k Dynamite by BTS twt becomes just the third song in history to rank 1 on Gaon Monthly Digital Chart for 2 months a row,,neutral
5,RT NewsStatehouse This is the only possible explanation for GovMikeDeWine s actions He corrupt,corrupt,negative
6,jorgito moreno wdunlap KamalaHarris JoeBiden Swine flu,,neutral
7,farahmahadi our winter garden couple is back,,neutral
8,RT thiagoarzua Incubate at room temperature for 15 minutes me,,neutral
9,WELCOME TO OUR REALITY IN MINNESOTA,,neutral
10,RT martha gautier Man oh man my Twitter teacher pals are rocking these DonorsChoose projects FitzhughSabrina is working on stand up,,neutral
11,RT Sm1ttyjr If the debt continues to grow at pace it is Canadians will be next populace in need of refuge I say those advocate,"debt, advocate",neutral
12,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
13,RT VeritasVital If you are reading this on ship There is no dock in site so best man the ropes and steer her through t,best,positive
14,RT Torcho Please don t forget my OG friends over at O Connell s Pub right off I 44 they could use some patrons It been a rough year o,"rough, right",neutral
15,RT AgsafeOz Join 2 passionate AGvocates for an online presentation on 24 Nov at 2pm CropLifeOZ CEO Matthew Cossey and AuNutrien MD c,passionate,positive
16,RT professor wick Mask kill Most of the deaths in spanish flu were caused by Bronchial Pneumonia due to forced masks There is even,kill,negative
17,RT Fishguy FHL If you are interested in biological imaging and want face to learning the winter quarter Karly Cohen I ar,,neutral
18,RT josstheboss The Chinese Flu is looking very American,,neutral
19,RT CaseyNolen Update restaurants will like Clarification from Page staff Outdoor dinning WILL be allowed but NO INDOOR dining and bars,like,positive
20,methodical mess DonaldJTrumpJr Yes it s a highly infectious virus that came from China at least 40 will become,"mess, virus",negative
21,all15ofthem WINTER IS SO GOOD And yeah I basically had to stop myself from just naming every song on boys for pele fjdskj,,neutral
22,Let s hope for this outcome,,neutral
23,Random confession I ve never touched snow Like want to but get because my parents avoid winter tra,confession,negative
24,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
25,RT mamaR0303 I ve been on antidepressants for over a year and had no idea Please share,,neutral
26,RT ernie plumley Did you notice the leftist lying dems are starting to bring back chy naa virus Do know why Ok I ll tell,"lying, virus",negative
27,RT sunfloweraidil just found out that there s a strict rule of no pooping inside beehive what do they hold it in during wint,strict,negative
28,RT ajunicebot people on stan twitter need to realise that not everyone can put their pronouns bio hence why is used for thos,,neutral
29,GUESTING 111320 ENHYPEN members first guesting will take place on Tokyo Girls Collection 2020 Winter Online for,,neutral
30,my name is literally pizza please notice me,,neutral
31,Nasir Mathers Cappadonna because he actually has lengthy verses and outrapped other Wu members multiple times,lengthy,negative
32,Clem Snide Your Favorite Music At the Drive In Relationship of Command Boards Canada Has Right,,neutral
33,RT sunfloweraidil just found out that there s a strict rule of no pooping inside beehive what do they hold it in during wint,strict,negative
34,RT TylerWSFA12 It took me way too long to do this but these are all counties that have been under a tropical storm and or hurricane watc,,neutral
35,RT josstheboss The Chinese Flu is looking very American,,neutral
36,RT TrumperWavin White hat operators posting a simple but straightforward message shows that they know nothing can stop what is coming Ba,straightforward,positive
37,RT josstheboss The Chinese Flu is looking very American,,neutral
38,RT Castro1021 SAFETY FIRST BOYS,,neutral
39,RT smnlcnn if a student s first thought when calamity strikes is paano ang requirements ko instead of focusing on their safety isn t,calamity,negative
40,RT koatig The Ivy League the alleged smartest people on planet just saw 9 months of zero effects athletes from virus and can,"smartest, virus",neutral
41,RT tribelaw Time to think about the 25th Amendment,,neutral
42,Yesterday my sister stopped by with niece and she lovedddd polar bear snow globe Today this sponsored ad pop,,neutral
43,wkyc On another note we are experiencing record low flu cases,,neutral
44,RT sunfloweraidil just found out that there s a strict rule of no pooping inside beehive what do they hold it in during wint,strict,negative
45,RT josstheboss The Chinese Flu is looking very American,,neutral
